id,Precio_cat
4820,5
4821,2
4822,2
4823,3
4824,2
4825,2
4826,5
4827,4
4828,3
4829,5
4830,4
4831,5
4832,1
4833,2
4834,5
4835,4
4836,2
4837,5
4838,5
4839,1
4840,1
4841,3
4842,2
4843,4
4844,1
4845,3
4846,5
4847,4
4848,3
4849,3
4850,4
4851,3
4852,4
4853,4
4854,2
4855,3
4856,5
4857,1
4858,3
4859,1
4860,3
4861,3
4862,5
4863,1
4864,2
4865,3
4866,4
4867,3
4868,3
4869,5
4870,2
4871,3
4872,4
4873,3
4874,2
4875,1
4876,5
4877,3
4878,2
4879,3
4880,5
4881,3
4882,5
4883,3
4884,2
4885,1
4886,4
4887,2
4888,5
4889,4
4890,3
4891,5
4892,3
4893,4
4894,3
4895,5
4896,3
4897,4
4898,3
4899,3
4900,2
4901,4
4902,3
4903,4
4904,3
4905,1
4906,5
4907,3
4908,3
4909,3
4910,2
4911,4
4912,3
4913,1
4914,4
4915,1
4916,5
4917,5
4918,2
4919,2
4920,3
4921,3
4922,2
4923,5
4924,3
4925,5
4926,1
4927,3
4928,3
4929,1
4930,4
4931,1
4932,1
4933,1
4934,5
4935,5
4936,5
4937,2
4938,1
4939,3
4940,2
4941,3
4942,4
4943,5
4944,4
4945,4
4946,1
4947,2
4948,2
4949,2
4950,2
4951,1
4952,4
4953,5
4954,1
4955,2
4956,3
4957,1
4958,3
4959,2
4960,3
4961,2
4962,1
4963,5
4964,4
4965,1
4966,5
4967,3
4968,3
4969,3
4970,5
4971,4
4972,5
4973,3
4974,5
4975,5
4976,5
4977,5
4978,5
4979,2
4980,5
4981,3
4982,3
4983,3
4984,4
4985,4
4986,3
4987,2
4988,2
4989,1
4990,5
4991,1
4992,1
4993,5
4994,3
4995,3
4996,5
4997,5
4998,1
4999,3
5000,5
5001,5
5002,3
5003,5
5004,3
5005,3
5006,5
5007,2
5008,5
5009,4
5010,3
5011,4
5012,4
5013,4
5014,3
5015,5
5016,4
5017,3
5018,5
5019,4
5020,5
5021,1
5022,4
5023,2
5024,1
5025,3
5026,4
5027,3
5028,3
5029,2
5030,4
5031,5
5032,1
5033,5
5034,3
5035,3
5036,1
5037,4
5038,2
5039,5
5040,3
5041,5
5042,4
5043,3
5044,3
5045,3
5046,4
5047,3
5048,2
5049,1
5050,3
5051,5
5052,5
5053,5
5054,3
5055,1
5056,5
5057,4
5058,5
5059,5
5060,4
5061,3
5062,2
5063,3
5064,2
5065,2
5066,3
5067,4
5068,4
5069,3
5070,2
5071,3
5072,5
5073,3
5074,4
5075,4
5076,2
5077,2
5078,5
5079,3
5080,2
5081,4
5082,2
5083,2
5084,2
5085,3
5086,5
5087,4
5088,3
5089,3
5090,1
5091,2
5092,3
5093,3
5094,3
5095,3
5096,4
5097,2
5098,5
5099,1
5100,5
5101,4
5102,3
5103,4
5104,4
5105,2
5106,1
5107,3
5108,5
5109,3
5110,3
5111,2
5112,4
5113,4
5114,2
5115,4
5116,4
5117,4
5118,4
5119,3
5120,1
5121,3
5122,2
5123,3
5124,3
5125,3
5126,2
5127,1
5128,3
5129,4
5130,2
5131,5
5132,5
5133,4
5134,2
5135,3
5136,2
5137,4
5138,1
5139,2
5140,4
5141,4
5142,3
5143,3
5144,4
5145,3
5146,3
5147,1
5148,4
5149,5
5150,2
5151,5
5152,2
5153,5
5154,4
5155,2
5156,2
5157,4
5158,3
5159,2
5160,1
5161,4
5162,3
5163,1
5164,2
5165,2
5166,2
5167,3
5168,3
5169,4
5170,4
5171,5
5172,2
5173,5
5174,2
5175,4
5176,2
5177,5
5178,3
5179,5
5180,4
5181,5
5182,1
5183,2
5184,3
5185,5
5186,5
5187,4
5188,2
5189,3
5190,4
5191,2
5192,3
5193,3
5194,4
5195,3
5196,2
5197,2
5198,5
5199,4
5200,3
5201,1
5202,3
5203,5
5204,5
5205,5
5206,1
5207,4
5208,3
5209,1
5210,4
5211,1
5212,5
5213,1
5214,5
5215,5
5216,2
5217,3
5218,3
5219,3
5220,5
5221,5
5222,2
5223,1
5224,3
5225,2
5226,4
5227,2
5228,3
5229,5
5230,5
5231,5
5232,1
5233,3
5234,3
5235,2
5236,2
5237,2
5238,2
5239,3
5240,1
5241,4
5242,1
5243,5
5244,5
5245,2
5246,2
5247,5
5248,3
5249,4
5250,3
5251,3
5252,2
5253,4
5254,5
5255,4
5256,2
5257,3
5258,3
5259,3
5260,4
5261,4
5262,1
5263,1
5264,4
5265,1
5266,2
5267,2
5268,5
5269,3
5270,3
5271,4
5272,3
5273,1
5274,5
5275,3
5276,5
5277,3
5278,1
5279,4
5280,4
5281,4
5282,4
5283,3
5284,5
5285,5
5286,1
5287,4
5288,4
5289,5
5290,2
5291,5
5292,3
5293,3
5294,3
5295,4
5296,2
5297,2
5298,2
5299,1
5300,2
5301,4
5302,2
5303,5
5304,5
5305,4
5306,5
5307,3
5308,1
5309,4
5310,3
5311,4
5312,2
5313,2
5314,3
5315,4
5316,5
5317,5
5318,4
5319,2
5320,2
5321,1
5322,5
5323,2
5324,2
5325,5
5326,3
5327,3
5328,3
5329,2
5330,2
5331,3
5332,1
5333,2
5334,1
5335,2
5336,3
5337,2
5338,4
5339,3
5340,4
5341,5
5342,3
5343,5
5344,3
5345,1
5346,4
5347,5
5348,5
5349,5
5350,3
5351,2
5352,4
5353,4
5354,1
5355,3
5356,2
5357,5
5358,4
5359,4
5360,3
5361,5
5362,4
5363,4
5364,2
5365,3
5366,4
5367,3
5368,5
5369,3
5370,4
5371,3
5372,1
5373,3
5374,5
5375,1
5376,4
5377,5
5378,2
5379,2
5380,3
5381,2
5382,2
5383,3
5384,2
5385,4
5386,2
5387,3
5388,2
5389,2
5390,2
5391,4
5392,5
5393,5
5394,5
5395,3
5396,5
5397,4
5398,3
5399,5
5400,3
5401,3
5402,3
5403,4
5404,3
5405,5
5406,1
5407,3
5408,3
5409,3
5410,3
5411,2
5412,3
5413,1
5414,3
5415,1
5416,5
5417,3
5418,2
5419,4
5420,4
5421,5
5422,5
5423,5
5424,3
5425,2
5426,3
5427,1
5428,3
5429,1
5430,1
5431,4
5432,5
5433,5
5434,4
5435,3
5436,3
5437,3
5438,4
5439,4
5440,4
5441,3
5442,3
5443,4
5444,3
5445,1
5446,5
5447,1
5448,2
5449,3
5450,5
5451,3
5452,1
5453,5
5454,1
5455,4
5456,2
5457,5
5458,4
5459,4
5460,4
5461,5
5462,3
5463,4
5464,5
5465,3
5466,3
5467,5
5468,2
5469,2
5470,3
5471,3
5472,3
5473,1
5474,1
5475,3
5476,4
5477,2
5478,4
5479,4
5480,5
5481,2
5482,1
5483,3
5484,4
5485,2
5486,5
5487,2
5488,5
5489,3
5490,2
5491,2
5492,3
5493,2
5494,3
5495,5
5496,3
5497,5
5498,3
5499,4
5500,3
5501,3
5502,5
5503,5
5504,3
5505,3
5506,2
5507,3
5508,5
5509,1
5510,2
5511,5
5512,3
5513,1
5514,4
5515,3
5516,3
5517,3
5518,2
5519,4
5520,2
5521,4
5522,3
5523,3
5524,2
5525,2
5526,5
5527,5
5528,2
5529,2
5530,5
5531,5
5532,2
5533,5
5534,4
5535,4
5536,4
5537,4
5538,3
5539,2
5540,2
5541,1
5542,4
5543,2
5544,4
5545,1
5546,1
5547,2
5548,1
5549,1
5550,5
5551,5
5552,2
5553,1
5554,1
5555,3
5556,2
5557,5
5558,2
5559,3
5560,1
5561,4
5562,4
5563,3
5564,3
5565,3
5566,3
5567,4
5568,3
5569,4
5570,3
5571,2
5572,2
5573,3
5574,3
5575,2
5576,3
5577,4
5578,3
5579,1
5580,1
5581,3
5582,2
5583,5
5584,4
5585,4
5586,2
5587,3
5588,3
5589,4
5590,5
5591,4
5592,5
5593,2
5594,1
5595,2
5596,5
5597,2
5598,4
5599,5
5600,5
5601,5
5602,4
5603,2
5604,4
5605,4
5606,2
5607,3
5608,4
5609,2
5610,3
5611,3
5612,4
5613,4
5614,3
5615,3
5616,1
5617,2
5618,1
5619,1
5620,3
5621,1
5622,1
5623,3
5624,1
5625,3
5626,5
5627,1
5628,1
5629,3
5630,2
5631,3
5632,3
5633,4
5634,4
5635,4
5636,3
5637,4
5638,4
5639,2
5640,1
5641,4
5642,2
5643,1
5644,3
5645,2
5646,4
5647,2
5648,2
5649,1
5650,4
5651,4
5652,5
5653,4
5654,2
5655,1
5656,1
5657,2
5658,3
5659,2
5660,2
5661,5
5662,3
5663,5
5664,5
5665,4
5666,1
5667,3
5668,2
5669,4
5670,5
5671,2
5672,4
5673,4
5674,2
5675,2
5676,2
5677,3
5678,3
5679,3
5680,3
5681,3
5682,1
5683,4
5684,5
5685,3
5686,1
5687,5
5688,2
5689,2
5690,1
5691,3
5692,5
5693,4
5694,3
5695,3
5696,1
5697,4
5698,3
5699,2
5700,4
5701,3
5702,1
5703,4
5704,2
5705,5
5706,5
5707,1
5708,3
5709,5
5710,4
5711,2
5712,3
5713,4
5714,1
5715,1
5716,4
5717,5
5718,4
5719,2
5720,4
5721,3
5722,5
5723,2
5724,1
5725,4
5726,4
5727,3
5728,3
5729,2
5730,3
5731,4
5732,3
5733,5
5734,1
5735,2
5736,1
5737,3
5738,2
5739,5
5740,2
5741,4
5742,3
5743,3
5744,2
5745,4
5746,1
5747,5
5748,4
5749,1
5750,4
5751,3
5752,2
5753,1
5754,5
5755,2
5756,4
5757,1
5758,3
5759,4
5760,4
5761,4
5762,5
5763,2
5764,3
5765,3
5766,4
5767,2
5768,4
5769,5
5770,3
5771,4
5772,2
5773,3
5774,4
5775,5
5776,3
5777,5
5778,3
5779,4
5780,2
5781,4
5782,2
5783,5
5784,4
5785,4
5786,1
5787,5
5788,4
5789,3
5790,2
5791,5
5792,5
5793,5
5794,4
5795,3
5796,2
5797,3
5798,5
5799,4
5800,5
5801,3
5802,3
5803,3
5804,2
5805,4
5806,5
5807,5
5808,2
5809,5
5810,1
5811,5
5812,1
5813,3
5814,5
5815,2
5816,1
5817,3
5818,4
5819,1
5820,4
5821,1
5822,3
5823,1
5824,3
5825,2
5826,3
5827,2
5828,2
5829,5
5830,2
5831,3
5832,3
5833,4
5834,1
5835,2
5836,5
5837,3
5838,2
5839,5
5840,4
5841,4
5842,4
5843,4
5844,4
5845,4
5846,1
5847,2
5848,1
5849,2
5850,3
5851,2
5852,3
5853,2
5854,1
5855,1
5856,3
5857,4
5858,5
5859,2
5860,1
5861,2
5862,3
5863,3
5864,5
5865,4
5866,3
5867,4
5868,4
5869,1
5870,4
5871,4
5872,1
5873,1
5874,1
5875,1
5876,2
5877,5
5878,5
5879,3
5880,3
5881,4
5882,1
5883,4
5884,3
5885,5
5886,1
5887,5
5888,1
5889,1
5890,5
5891,1
5892,3
5893,5
5894,5
5895,4
5896,4
5897,5
5898,2
5899,3
5900,4
5901,4
5902,1
5903,4
5904,5
5905,5
5906,3
5907,2
5908,2
5909,4
5910,2
5911,1
5912,3
5913,1
5914,3
5915,5
5916,5
5917,2
5918,3
5919,2
5920,3
5921,3
5922,2
5923,1
5924,1
5925,5
5926,2
5927,2
5928,5
5929,3
5930,5
5931,5
5932,4
5933,1
5934,3
5935,5
5936,3
5937,1
5938,5
5939,2
5940,2
5941,5
5942,3
5943,1
5944,4
5945,2
5946,4
5947,1
5948,1
5949,3
5950,3
5951,4
5952,5
5953,3
5954,5
5955,1
5956,2
5957,3
5958,3
5959,5
5960,1
5961,2
5962,3
5963,5
5964,4
5965,1
5966,1
5967,1
5968,2
5969,2
5970,4
5971,5
5972,1
5973,3
5974,3
5975,3
5976,4
5977,5
5978,5
